1.2.840.10008.1.1,VerificationSOPClass,SOPClass,Verification SOP Class
1.2.840.10008.1.2,ImplicitVRLittleEndian,TransferSyntax,Implicit VR Little Endian
1.2.840.10008.1.2.1,ExplicitVRLittleEndian,TransferSyntax,Explicit VR Little Endian
1.2.840.10008.1.2.1.99,DeflatedExplicitVRLittleEndian,TransferSyntax,Deflated Explicit VR Little Endian
1.2.840.10008.1.2.2,ExplicitVRBigEndianRetired,TransferSyntax,Explicit VR Big Endian (Retired)
1.2.840.10008.1.2.4.50,JPEGBaseline1,TransferSyntax,JPEG Baseline (Process 1)
1.2.840.10008.1.2.4.51,JPEGExtended24,TransferSyntax,JPEG Extended (Process 2 & 4)
1.2.840.10008.1.2.4.52,JPEGExtended35Retired,TransferSyntax,JPEG Extended (Process 3 & 5) (Retired)
1.2.840.10008.1.2.4.53,JPEGSpectralSelectionNonHierarchical68Retired,TransferSyntax,JPEG Spectral Selection, Non-Hierarchical (Process 6 & 8) (Retired)
1.2.840.10008.1.2.4.54,JPEGSpectralSelectionNonHierarchical79Retired,TransferSyntax,JPEG Spectral Selection, Non-Hierarchical (Process 7 & 9) (Retired)
1.2.840.10008.1.2.4.55,JPEGFullProgressionNonHierarchical1012Retired,TransferSyntax,JPEG Full Progression, Non-Hierarchical (Process 10 & 12) (Retired)
1.2.840.10008.1.2.4.56,JPEGFullProgressionNonHierarchical1113Retired,TransferSyntax,JPEG Full Progression, Non-Hierarchical (Process 11 & 13) (Retired)
1.2.840.10008.1.2.4.57,JPEGLosslessNonHierarchical14,TransferSyntax,JPEG Lossless, Non-Hierarchical (Process 14)
1.2.840.10008.1.2.4.58,JPEGLosslessNonHierarchical15Retired,TransferSyntax,JPEG Lossless, Non-Hierarchical (Process 15) (Retired)
1.2.840.10008.1.2.4.59,JPEGExtendedHierarchical1618Retired,TransferSyntax,JPEG Extended, Hierarchical (Process 16 & 18) (Retired)
1.2.840.10008.1.2.4.60,JPEGExtendedHierarchical1719Retired,TransferSyntax,JPEG Extended, Hierarchical (Process 17 & 19) (Retired)
1.2.840.10008.1.2.4.61,JPEGSpectralSelectionHierarchical2022Retired,TransferSyntax,JPEG Spectral Selection, Hierarchical (Process 20 & 22) (Retired)
1.2.840.10008.1.2.4.62,JPEGSpectralSelectionHierarchical2123Retired,TransferSyntax,JPEG Spectral Selection, Hierarchical (Process 21 & 23) (Retired)
1.2.840.10008.1.2.4.63,JPEGFullProgressionHierarchical2426Retired,TransferSyntax,JPEG Full Progression, Hierarchical (Process 24 & 26) (Retired)
1.2.840.10008.1.2.4.64,JPEGFullProgressionHierarchical2527Retired,TransferSyntax,JPEG Full Progression, Hierarchical (Process 25 & 27) (Retired)
1.2.840.10008.1.2.4.65,JPEGLosslessHierarchical28Retired,TransferSyntax,JPEG Lossless, Hierarchical (Process 28) (Retired)
1.2.840.10008.1.2.4.66,JPEGLosslessHierarchical29Retired,TransferSyntax,JPEG Lossless, Hierarchical (Process 29) (Retired)
1.2.840.10008.1.2.4.70,JPEGLossless,TransferSyntax,JPEG Lossless, Non-Hierarchical, First-Order Prediction (Process 14 [Selection Value 1])
1.2.840.10008.1.2.4.80,JPEGLSLossless,TransferSyntax,JPEG-LS Lossless Image Compression
1.2.840.10008.1.2.4.81,JPEGLSLossyNearLossless,TransferSyntax,JPEG-LS Lossy (Near-Lossless) Image Compression
1.2.840.10008.1.2.4.90,JPEG2000LosslessOnly,TransferSyntax,JPEG 2000 Image Compression (Lossless Only)
